country	name	sortname	position	club
Mexico	Diego Antonio ReyesDiego Reyes	Reyes, Diego Antonio	DF	FC Porto
Mexico	Hugo Ayala	Ayala, Hugo	DF	Tigres UANL
Mexico	Oswaldo Alanís	Alanis, Oswaldo	DF	C.D. Guadalajara
Mexico	Jesús Gallardo	Gallardo, Jesus	DF	Club Universidad Nacional
Mexico	Carlos Salcedo	Salcedo, Carlos	DF	Eintracht Frankfurt
Mexico	Edson Álvarez	Alvarez, Edson	DF	Club América
Mexico	Andrés Guardado	Guardado, Andres	MF	Real Betis
Mexico	Marco Fabián	Fabian, Marco	MF	Eintracht Frankfurt
Mexico	Héctor Herrera	Herrera, Hector	MF	FC Porto
Mexico	Rafael Márquez	Marquez, Rafael	MF	Club Atlas
Mexico	Jesús Molina	Molina, Jesus	MF	C.F. Monterrey
Mexico	Jonathan dos Santos	Santos, Jonathan dos	MF	LA Galaxy
Mexico	Giovani dos Santos	Santos dos, Giovani	MF	LA Galaxy
Mexico	Érick Gutiérrez	Gutierrez, Erick	MF	C.F. Pachuca
Mexico	Javier Aquino	Aquino, Javier	FW	Tigres UANL
Mexico	Javier Hernández	Hernandez, Javier	FW	West Ham United F.C.
Mexico	Carlos Vela	Vela, Carlos	FW	Los Angeles FC
Mexico	Oribe Peralta	Peralta, Oribe	FW	Club América
Mexico	Raúl Jiménez	Jimenez, Raul	FW	S.L. Benfica
Mexico	Jesús Manuel Corona	Corona, Jesus	FW	FC Porto
Mexico	Hirving Lozano	Lozano, Hirving	FW	PSV Eindhoven
Mexico	Jürgen Damm	Damm, Jurgen	FW	Tigres UANL
Serbia	Vladimir Stojković	Stojkovic, Vladimir	GK	FK Partizan
Serbia	Predrag Rajković	Rajkovic, Predrag	GK	Maccabi Tel Aviv F.C.
Serbia	Marko Dmitrović	Dmitrovic, Marko	GK	SD Eibar
Serbia	Aleksandar Jovanović Aleksandar Jovanović	Jovanovic, Aleksandar	GK	Aarhus Gymnastikforening
Serbia	Branislav Ivanović	Ivanovic, Branislav	DF	FC Zenit Saint Petersburg
Serbia	Aleksandar Kolarov	Kolarov, Aleksandar	DF	A.S. Roma
Serbia	Antonio Rukavina	Rukavina, Antonio	DF	Villarreal CF
Serbia	Matija Nastasić	Nastasic, Matija	DF	FC Schalke 04
Serbia	Duško Tošić	Tosic, Dusko	DF	Beşiktaş J.K.
Serbia	Uroš Spajić	Spajic, Uros	DF	R.S.C. Anderlecht
Serbia	Miloš Veljković	Veljkovic, Milos	DF	SV Werder Bremen
Serbia	Nikola Milenković	Milenkovic, Nikola	DF	ACF Fiorentina
Serbia	Milan Rodić	Rodic, Milan	DF	Red Star Belgrade
Serbia	Dušan Tadić	Tadic, Dusan	MF	Southampton F.C.
Serbia	Nemanja Matić	Matic, Nemanja	MF	Manchester United F.C.
Serbia	Adem Ljajić	Ljajic, Adem	MF	Torino F.C.
Serbia	Luka Milivojević	Milivojevic, Luka	MF	Crystal Palace F.C.
Serbia	Filip Kostić	Kostic, Filip	MF	Hamburger SV
Serbia	Andrija Živković	Zivkovic, Andrija	MF	S.L. Benfica
Serbia	Mijat Gaćinović	Gacinovic, Mijat	MF	Eintracht Frankfurt
Serbia	Marko Grujić	Grujic, Marko	MF	Cardiff City F.C.
Serbia	Nemanja Maksimović	Maksimovic, Nemanja	MF	Valencia CF
Serbia	Sergej Milinković-Savić	Milinkovic	MF	S.S. Lazio
Serbia	Nemanja Radonjić	Radonjic, Nemanja	MF	Red Star Belgrade
Serbia	Aleksandar Mitrović Aleksandar Mitrović	Mitrovic, Aleksandar	FW	Fulham F.C.
Serbia	Aleksandar Prijović	Prijovic, Aleksandar	FW	PAOK FC
Serbia	Luka Jović	Jovic, Luka	FW	Eintracht Frankfurt
Tunisia	Aymen Mathlouthi	Mathlouthi, Aymen	GK	Al-Batin F.C.
Tunisia	Moez Ben Cherifia	Ben Chrifia, Moez	GK	Espérance Sportive de Tunis
Tunisia	Farouk Ben Mustapha	Ben Mustapha, Farouk	GK	Al-Shabab FC (Riyadh)
Tunisia	Mouez Hassen	Hassen, Mouez	GK	LB Châteauroux
Tunisia	Hamdi Nagguez	Nagguez, Hamdi	DF	Zamalek SC
Tunisia	Dylan Bronn	Bronn, Dylan	DF	K.A.A. Gent
Tunisia	Rami Bedoui	Bedoui, Rami	DF	Étoile Sportive du Sahel
Tunisia	Yohan Benalouane	Benalouane, Yohan	DF	Leicester City F.C.
Tunisia	Syam Ben Youssef	Ben Youssef, Syam	DF	Kasımpaşa S.K.
Tunisia	Yassine Meriah	Meriah, Yassine	DF	CS Sfaxien
Tunisia	Bilel Mohsni	Mohsni, Bilel	DF	Dundee United F.C.
Tunisia	Khalil Chemmam	Chemmam, Khalil	DF	Espérance Sportive de Tunis
Tunisia	Oussama Haddadi	Haddadi, Oussama	DF	Dijon FCO
Tunisia	Ali Maâloul	Maaloul, Ali	DF	Al Ahly SC
Tunisia	Ellyes Skhiri	Skhiri, Ellyes	MF	Montpellier HSC
Tunisia	Mohamed Amine Ben Amor	Ben Amor, Mohamed Amine	MF	Al-Ahli Saudi FC
Tunisia	Ghailene Chaalali	Chaalali, Ghailene	MF	Espérance Sportive de Tunis
Tunisia	Karim Laribi	Laribi, Karim	MF	A.C. Cesena
Tunisia	Ferjani Sassi	Sassi, Ferjani	MF	Al-Nassr FC
Tunisia	Ahmed Khalil Ahmed Khalil	Khalil, Ahmed	MF	Club Africain
Tunisia	Saîf-Eddine Khaoui	Khaoui, Saif	MF	Troyes AC
Tunisia	Mohamed Larbi	Larbi, Mohamed	MF	Tours FC
Tunisia	Naïm Sliti	Sliti, Naim	MF	Dijon FCO
Tunisia	Bassem Srarfi	Srarfi, Bassem	MF	OGC Nice
Tunisia	Fakhreddine Ben Youssef	Youssef, Fakhreddine	FW	Ettifaq FC
Tunisia	Anice Badri	Badri, Anice	FW	Espérance Sportive de Tunis
Tunisia	Ahmed Akaïchi	Akaichi, Ahmed	FW	Al-Ittihad Club (Jeddah)
Tunisia	Wahbi Khazri	Khazri, Wahbi	FW	Stade Rennais F.C.
Tunisia	Saber Khalifa	Khalifa, Saber	FW	Club Africain
Senegal	Khadim N'Diaye	Ndiaye, Khadim	GK	Horoya AC
Senegal	Abdoulaye Diallo	Diallo, Abdoulaye	GK	Stade Rennais F.C.
Senegal	Alfred Gomis	Gomis, Alfred	GK	S.P.A.L. 2013
Senegal	Kara Mbodji	Mbodji, Kara	DF	R.S.C. Anderlecht
Senegal	Lamine Gassama	Gassama, Lamine	DF	Alanyaspor
Senegal	Kalidou Koulibaly	Koulibaly, Kalidou	DF	S.S.C. Napoli
Senegal	Salif Sané	Sane, Salif	DF	Hannover 96
Senegal	Saliou Ciss	Ciss, Saliou	DF	Valenciennes FC
Senegal	Moussa Wagué	Wague, Moussa	DF	K.A.S. Eupen
Senegal	Youssouf Sabaly	Sabaly, Youssouf	DF	FC Girondins de Bordeaux
Senegal	Idrissa Gueye	Gueye, Idrissa	MF	Everton F.C.
Senegal	Cheikhou Kouyaté	Kayoute, Cheikhou	MF	West Ham United F.C.
Senegal	Cheikh N'Doye	Ndoye, Cheikh	MF	Birmingham City F.C.
Senegal	Alfred N'Diaye	Ndiaye, Alfred	MF	Wolverhampton Wanderers F.C.
Senegal	Badou Ndiaye	Ndiaye, Badou	MF	Stoke City F.C.
Senegal	Sadio Mané	Mane, Sadio	FW	Liverpool F.C.
Senegal	Moussa Sow	Sow, Moussa	FW	Bursaspor
Senegal	Mame Biram Diouf	Diouf, Mame Biram	FW	Stoke City F.C.
Senegal	Moussa Konaté Moussa Konaté	Konate, Moussa	FW	Amiens SC
Senegal	Keita Baldé	Balde Diao, Keita	FW	AS Monaco FC
Senegal	Ismaïla Sarr	Sarr, Ismaila	FW	Stade Rennais F.C.
Senegal	Diafra Sakho	Sakho, Diafra	FW	Stade Rennais F.C.
Senegal	M'Baye Niang	Niang, MBaye	FW	Torino F.C.
Colombia	David Ospina	Ospina, David	GK	Arsenal F.C.
Colombia	Camilo Vargas	Vargas, Camilo	GK	Deportivo Cali
Colombia	Iván Arboleda	Arboleda, Ivan	GK	Club Atlético Banfield
Colombia	José Fernando Cuadrado	Cuadrado, Jose Fernando	GK	Once Caldas
Colombia	Cristián Zapata	Zapata, Cristian	DF	A.C. Milan
Colombia	Dávinson Sánchez	Sanchez, Davinson	DF	Tottenham Hotspur F.C.
Colombia	Santiago Arias	Arias, Santiago	DF	PSV Eindhoven
Colombia	Óscar Murillo	Murillo, Oscar	DF	C.F. Pachuca
Colombia	Frank Fabra	Fabra, Frank	DF	Boca Juniors
Colombia	Johan Mojica	Mojica, Johan Andres	DF	Girona FC
Colombia	Yerry Mina	Mina, Yerry	DF	FC Barcelona
Colombia	William Tesillo	Tesillo, Mina	DF	Club León
Colombia	Bernardo Espinosa	Bernardo	DF	Girona FC
Colombia	Stefan Medina	Medina, Stefan	DF	C.F. Monterrey
Colombia	Farid Díaz	Diaz, Farid	DF	Club Olimpia
Colombia	Wílmar Barrios	Barrios, Wilmar	MF	Boca Juniors
Colombia	Carlos Sánchez MorenoCarlos Sánchez	Sanchez, Carlos	MF	RCD Espanyol
Colombia	Jefferson Lerma	Lerma, Jefferson	MF	Levante UD
Colombia	José Izquierdo José Izquierdo	Izquierdo, Jose	MF	Brighton & Hove Albion F.C.
Colombia	James Rodríguez	Rodriguez, James	MF	FC Bayern Munich
Colombia	Giovanni Moreno	Moreno, Giovanni	MF	Shanghai Greenland Shenhua F.C.
Colombia	Abel Aguilar	Aguilar, Abel	MF	Deportivo Cali
Colombia	Mateus Uribe	Uribe, Mateus	MF	Club América
Colombia	Yimmi Chará	Chara, Yimmi	MF	Atlético Junior
Colombia	Juan Fernando Quintero	Quintero, Juan Fernando	MF	Club Atlético River Plate
Colombia	Edwin Cardona	Cardona, Edwin	MF	Boca Juniors
Colombia	Juan Cuadrado	Cuadrado, Juan	MF	Juventus F.C.
Colombia	Gustavo Cuéllar	Cuellar, Gustavo	MF	Clube de Regatas do Flamengo
Colombia	Sebastián Pérez Cardona	Perez, Sebastian	MF	Boca Juniors
Colombia	Radamel Falcao	Falcao, Radamel	FW	AS Monaco FC
Colombia	Duván Zapata	Zapata, Duvan	FW	U.C. Sampdoria
Colombia	Miguel Borja	Borja, Miguel	FW	Sociedade Esportiva Palmeiras
Colombia	Carlos Bacca	Bacca, Carlos	FW	Villarreal CF
Colombia	Luis Muriel	Muriel, Luis	FW	Sevilla FC
Colombia	Teófilo Gutiérrez	Gutierrez, Teofilo	FW	Atlético Junior
Japan	Eiji Kawashima	Kawashima, Eiji	GK	FC Metz
Japan	Masaaki Higashiguchi	Higashiguchi, Masaaki	GK	Gamba Osaka
Japan	Kosuke Nakamura	Nakamura, Kosuke	GK	Kashiwa Reysol
Japan	Yuto Nagatomo	Nagatomo, Yuto	DF	Galatasaray S.K. (football)
Japan	Tomoaki Makino	Makino, Tomoaki	DF	Urawa Red Diamonds
Japan	Maya Yoshida	Yoshida, Maya	DF	Southampton F.C.
Japan	Hiroki Sakai	Sakai, Hiroki	DF	Olympique de Marseille
Japan	Gōtoku Sakai	Sakai, Gotoku	DF	Hamburger SV
Japan	Gen Shoji	Shoji, Gen	DF	Kashima Antlers
Japan	Wataru Endo	Endo, Wataru	DF	Urawa Red Diamonds
Japan	Naomichi Ueda	Ueda, Naomichi	DF	Kashima Antlers
Japan	Makoto Hasebe	Hasebe, Makoto	MF	Eintracht Frankfurt
Japan	Toshihiro Aoyama	Aoyama, Toshihiro	MF	Sanfrecce Hiroshima
Japan	Keisuke Honda	Honda, Keisuke	MF	C.F. Pachuca
Japan	Takashi Inui	Inui, Takashi	MF	SD Eibar
Japan	Shinji Kagawa	Kagawa, Shinji	MF	Borussia Dortmund
Japan	Hotaru Yamaguchi	Yamaguchi, Hotaru	MF	Cerezo Osaka
Japan	Genki Haraguchi	Haraguchi, Genki	MF	Fortuna Düsseldorf
Japan	Takashi Usami	Usami, Takashi	MF	Fortuna Düsseldorf
Japan	Gaku Shibasaki	Shibasaki, Gaku	MF	Getafe CF
Japan	Ryota Oshima	Oshima, Ryota	MF	Kawasaki Frontale
Japan	Kento Misao	Misao, Kento	MF	Kashima Antlers
Japan	Yosuke Ideguchi	Ideguchi, Yosuke	MF	Cultural y Deportiva Leonesa
Japan	Shinji Okazaki	Okazaki, Shinji	FW	Leicester City F.C.
Japan	Yuya Osako	Osako, Yuya	FW	1. FC Köln
Japan	Yoshinori Mutō	Muto, Yoshinori	FW	1. FSV Mainz 05
Japan	Takuma Asano	Asano, Takuma	FW	VfB Stuttgart
