Thomas Vermaelen	Defender	Belgium	Arsenal
Toby Alderweireld	Defender	Belgium	Atlético Madrid
Nicolas Lombaerts	Defender	Belgium	Zenit Saint Petersburg
Anthony Vanden Borre	Defender	Belgium	Anderlecht
Laurent Ciman	Defender	Belgium	Standard Liège
Mousa Dembélé	Midfielder	Belgium	Tottenham Hotspur
Marouane Fellaini	Midfielder	Belgium	Manchester United
Axel Witsel	Midfielder	Belgium	Zenit Saint Petersburg
Kevin Mirallas	Midfielder	Belgium	Everton
Eden Hazard	Midfielder	Belgium	Chelsea
Steven Defour	Midfielder	Belgium	Porto
Kevin De Bruyne	Midfielder	Belgium	VfL Wolfsburg
Nacer Chadli	Midfielder	Belgium	Tottenham Hotspur
Adnan Januzaj	Midfielder	Belgium	Manchester United
Romelu Lukaku	Forward	Belgium	Everton
Dries Mertens	Forward	Belgium	Napoli
Divock Origi	Forward	Belgium	Lille
Júlio César	Goal Keeper	Brazil	Toronto FC
Jefferson	Goal Keeper	Brazil	Botafogo
Victor	Goal Keeper	Brazil	Atlético Mineiro
Daniel Alves	Defender	Brazil	Barcelona
Maicon	Defender	Brazil	Roma
Thiago Silva (captain)	Defender	Brazil	Paris Saint-Germain
David Luiz	Defender	Brazil	Chelsea
Marcelo	Defender	Brazil	Real Madrid
Dante	Defender	Brazil	Bayern Munich
Maxwell	Defender	Brazil	Paris Saint-Germain
Henrique	Defender	Brazil	Napoli
Ramires	Midfielder	Brazil	Chelsea
Oscar	Midfielder	Brazil	Chelsea
Paulinho	Midfielder	Brazil	Tottenham Hotspur
Hernanes	Midfielder	Brazil	Internazionale
Luiz Gustavo	Midfielder	Brazil	VfL Wolfsburg
Bernard	Midfielder	Brazil	Shakhtar Donetsk
Fernandinho	Midfielder	Brazil	Manchester City
Willian	Midfielder	Brazil	Chelsea
Neymar	Forward	Brazil	Barcelona
Hulk	Forward	Brazil	Zenit Saint Petersburg
Fred	Forward	Brazil	Fluminense
Jô	Forward	Brazil	Atlético Mineiro
Diego Benaglio	Goal Keeper	Switzerland	VfL Wolfsburg
Stephan Lichtsteiner	Defender	Switzerland	Juventus
Reto Ziegler	Defender	Switzerland	Sassuolo
Philippe Senderos	Defender	Switzerland	Valencia
Steve von Bergen	Defender	Switzerland	Young Boys
Michael Lang	Defender	Switzerland	Grasshopper
Tranquillo Barnetta	Midfielder	Switzerland	Eintracht Frankfurt
Gökhan Inler (captain)	Midfielder	Switzerland	Napoli
Haris Seferović	Forward	Switzerland	Real Sociedad
Boubacar Barry	Goal Keeper	Côte d'Ivoire	Lokeren
Sayouba Mandé	Goal Keeper	Côte d'Ivoire	Stabæk
Badra Ali Sangaré	Goal Keeper	Côte d'Ivoire	ASEC Mimosas
Sylvain Gbohouo	Goal Keeper	Côte d'Ivoire	Séwé Sport
Didier Zokora	Defender	Côte d'Ivoire	Trabzonspor
Kolo Touré	Defender	Côte d'Ivoire	Liverpool
Arthur Boka	Defender	Côte d'Ivoire	VfB Stuttgart
Sol Bamba	Defender	Côte d'Ivoire	Trabzonspor
Benjamin Angoua	Defender	Côte d'Ivoire	Valenciennes
Serge Aurier	Defender	Côte d'Ivoire	Toulouse
Ousmane Viera	Defender	Côte d'Ivoire	Çaykur Rizespor
Constant Djakpa	Defender	Côte d'Ivoire	Eintracht Frankfurt
Jean-Daniel Akpa-Akpro	Defender	Côte d'Ivoire	Toulouse
Brice Dja Djédjé	Defender	Côte d'Ivoire	Marseille
Yaya Touré	Midfielder	Côte d'Ivoire	Manchester City
Cheick Tioté	Midfielder	Côte d'Ivoire	Newcastle United
Didier Ya Konan	Midfielder	Côte d'Ivoire	Hannover 96
Max Gradel	Midfielder	Côte d'Ivoire	Saint-Étienne
Serey Die	Midfielder	Côte d'Ivoire	Basel
Mathis Bolly	Midfielder	Côte d'Ivoire	Fortuna Düsseldorf
Ismaël Diomande	Midfielder	Côte d'Ivoire	Saint-Étienne
Didier Drogba	Forward	Côte d'Ivoire	Galatasaray
Salomon Kalou	Forward	Côte d'Ivoire	Lille
Gervinho	Forward	Côte d'Ivoire	Roma
Wilfried Bony	Forward	Côte d'Ivoire	Swansea City
Seydou Doumbia	Forward	Côte d'Ivoire	CSKA Moscow
Lacina Traoré	Forward	Côte d'Ivoire	Everton
Giovanni Sio	Forward	Côte d'Ivoire	Basel
Claudio Bravo	Goal Keeper	Chile	Real Sociedad
Johnny Herrera	Goal Keeper	Chile	Universidad de Chile
Cristopher Toselli	Goal Keeper	Chile	Universidad Católica
Paulo Garcés	Goal Keeper	Chile	O'Higgins
Gonzalo Jara	Defender	Chile	Nottingham Forest
Gary Medel	Defender	Chile	Cardiff City
Mauricio Isla	Defender	Chile	Juventus
Marcos González	Defender	Chile	Unión Española
Eugenio Mena	Defender	Chile	Santos
José Rojas	Defender	Chile	Universidad de Chile
Miiko Albornoz	Defender	Chile	Malmö
Jean Beausejour	Midfielder	Chile	Wigan Athletic
Jorge Valdivia	Midfielder	Chile	Palmeiras
Arturo Vidal	Midfielder	Chile	Juventus
Carlos Carmona	Midfielder	Chile	Atalanta
Rodrigo Millar	Midfielder	Chile	Atlas
José Pedro Fuenzalida	Midfielder	Chile	Colo-Colo
Charles Aránguiz	Midfielder	Chile	Internacional
Marcelo Díaz	Midfielder	Chile	Basel
Felipe Gutiérrez	Midfielder	Chile	Twente
Francisco Silva	Midfielder	Chile	Osasuna
Pablo Hernández	Midfielder	Chile	O'Higgins
Alexis Sánchez	Forward	Chile	Barcelona
Eduardo Vargas	Forward	Chile	Valencia
Mauricio Pinilla	Forward	Chile	Cagliari
Fabián Orellana	Forward	Chile	Celta Vigo
Guy N'dy Assembé	Goal Keeper	Cameroon	Guingamp
Charles Itandje	Goal Keeper	Cameroon	Konyaspor
Sammy N'Djock	Goal Keeper	Cameroon	Fethiyespor
Loïc Feudjou	Goal Keeper	Cameroon	Coton Sport
Nicolas N'Koulou	Defender	Cameroon	Marseille
Aurélien Chedjou	Defender	Cameroon	Galatasaray
Henri Bedimo	Defender	Cameroon	Lyon
Benoit Assou-Ekotto	Defender	Cameroon	Queens Park Rangers
Dany Nounkeu	Defender	Cameroon	Beşiktaş
Gaëtan Bong	Defender	Cameroon	Olympiacos
Allan Nyom	Defender	Cameroon	Granada
Jean-Armel Kana-Biyik	Defender	Cameroon	Rennes
Cedric Djeugoue	Defender	Cameroon	Coton Sport
Jean Makoun	Midfielder	Cameroon	Rennes
Stéphane Mbia	Midfielder	Cameroon	Sevilla
Alex Song	Midfielder	Cameroon	Barcelona
Landry N'Guémo	Midfielder	Cameroon	Bordeaux
Eyong Enoh	Midfielder	Cameroon	Antalyaspor
Joël Matip	Midfielder	Cameroon	Schalke 04
Edgar Salli	Midfielder	Cameroon	Lens
Raoul Loé	Midfielder	Cameroon	Osasuna
Samuel Eto'o	Forward	Cameroon	Chelsea
Pierre Webó	Forward	Cameroon	Fenerbahçe
Mohammadou Idrissou	Forward	Cameroon	1. FC Kaiserslautern
Maxim Choupo-Moting	Forward	Cameroon	Mainz 05
Vincent Aboubakar	Forward	Cameroon	Lorient
Benjamin Moukandjo	Forward	Cameroon	Nancy
Fabrice Olinga	Forward	Cameroon	Zulte Waregem
Faryd Mondragón	Goal Keeper	Colombia	Deportivo Cali
David Ospina	Goal Keeper	Colombia	Nice
Camilo Vargas	Goal Keeper	Colombia	Santa Fe
Mario Yepes	Defender	Colombia	Atalanta
Luis Amaranto Perea	Defender	Colombia	Cruz Azul
Juan Camilo Zúñiga	Defender	Colombia	Napoli
Pablo Armero	Defender	Colombia	West Ham United
Cristián Zapata	Defender	Colombia	Milan
Carlos Valdés	Defender	Colombia	San Lorenzo
Santiago Arias	Defender	Colombia	PSV Eindhoven
Éder Álvarez Balanta	Defender	Colombia	River Plate
Fredy Guarín	Midfielder	Colombia	Internazionale
Abel Aguilar	Midfielder	Colombia	Toulouse
Carlos Sánchez	Midfielder	Colombia	Elche
Aldo Leão Ramírez	Midfielder	Colombia	Morelia
Juan Guillermo Cuadrado	Midfielder	Colombia	Fiorentina
James Rodríguez	Midfielder	Colombia	Monaco
Edwin Valencia	Midfielder	Colombia	Fluminense
Alexander Mejía	Midfielder	Colombia	Atlético Nacional
Juan Fernando Quintero	Midfielder	Colombia	Porto
Radamel Falcao	Forward	Colombia	Monaco
Teófilo Gutiérrez	Forward	Colombia	River Plate
Jackson Martínez	Forward	Colombia	Porto
Adrián Ramos	Forward	Colombia	Hertha BSC
Carlos Bacca	Forward	Colombia	Sevilla
Víctor Ibarbo	Forward	Colombia	Cagliari
Luis Muriel	Forward	Colombia	Udinese
Keylor Navas	Goal Keeper	Costa Rica	Levante
Patrick Pemberton	Goal Keeper	Costa Rica	Alajuelense
Daniel Cambronero	Goal Keeper	Costa Rica	Herediano
Esteban Alvarado	Goal Keeper	Costa Rica	AZ
Michael Umaña	Defender	Costa Rica	Saprissa
Júnior Díaz	Defender	Costa Rica	Mainz 05
Roy Miller	Defender	Costa Rica	New York Red Bulls
Giancarlo González	Defender	Costa Rica	Columbus Crew
Johnny Acosta	Defender	Costa Rica	Alajuelense
Cristian Gamboa	Defender	Costa Rica	Rosenborg
Óscar Duarte	Defender	Costa Rica	Club Brugge
Heiner Mora	Defender	Costa Rica	Saprissa
Kendall Waston	Defender	Costa Rica	Saprissa
Waylon Francis	Defender	Costa Rica	Columbus Crew
Celso Borges	Midfielder	Costa Rica	AIK
Christian Bolaños	Midfielder	Costa Rica	Copenhagen
Michael Barrantes	Midfielder	Costa Rica	Aalesund
Carlos Hernández	Midfielder	Costa Rica	Wellington Phoenix
José Miguel Cubero	Midfielder	Costa Rica	Herediano
Yeltsin Tejeda	Midfielder	Costa Rica	Saprissa
Ariel Rodríguez	Midfielder	Costa Rica	Alajuelense
Esteban Granados	Midfielder	Costa Rica	Herediano
Diego Calvo	Midfielder	Costa Rica	Vålerenga
Hansell Arauz	Midfielder	Costa Rica	Saprissa
Álvaro Saborío	Forward	Costa Rica	Real Salt Lake
Bryan Ruiz	Forward	Costa Rica	PSV Eindhoven
Randall Brenes	Forward	Costa Rica	Cartaginés
Joel Campbell	Forward	Costa Rica	Olympiacos
Marco Ureña	Forward	Costa Rica	Kuban Krasnodar
Jairo Arrieta	Forward	Costa Rica	Columbus Crew
Manuel Neuer	Goal Keeper	Germany	Bayern Munich
Ron-Robert Zieler	Goal Keeper	Germany	Hannover 96
Roman Weidenfeller	Goal Keeper	Germany	Borussia Dortmund
Philipp Lahm	Defender	Germany	Bayern Munich
Per Mertesacker	Defender	Germany	Arsenal
Jérôme Boateng	Defender	Germany	Bayern Munich
Mats Hummels	Defender	Germany	Borussia Dortmund
Benedikt Höwedes	Defender	Germany	Schalke 04
Marcel Schmelzer	Defender	Germany	Borussia Dortmund
Kevin Großkreutz	Defender	Germany	Borussia Dortmund
Matthias Ginter	Defender	Germany	SC Freiburg
Shkodran Mustafi	Defender	Germany	Sampdoria
Erik Durm	Defender	Germany	Borussia Dortmund
Bastian Schweinsteiger	Midfielder	Germany	Bayern Munich
Mesut Özil	Midfielder	Germany	Arsenal
Sami Khedira	Midfielder	Germany	Real Madrid
Toni Kroos	Midfielder	Germany	Bayern Munich
Mario Götze	Midfielder	Germany	Bayern Munich
Lars Bender	Midfielder	Germany	Bayer Leverkusen
Julian Draxler	Midfielder	Germany	Schalke 04
Christoph Kramer	Midfielder	Germany	Borussia Mönchengladbach
Miroslav Klose	Forward	Germany	Lazio
Lukas Podolski	Forward	Germany	Arsenal
André Schürrle	Forward	Germany	Chelsea
Marco Reus	Forward	Germany	Borussia Dortmund
Thomas Müller	Forward	Germany	Bayern Munich
Kevin Volland	Forward	Germany	1899 Hoffenheim
Raïs M'Bolhi	Goal Keeper	Algeria	CSKA Sofia
Mohamed Zemmamouche	Goal Keeper	Algeria	USM Alger
Azzedine Doukha	Goal Keeper	Algeria	USM El Harrach
Cédric Si Mohamed	Goal Keeper	Algeria	CS Constantine
Madjid Bougherra	Defender	Algeria	Lekhwiya
Rafik Halliche	Defender	Algeria	Académica
Djamel Mesbah	Defender	Algeria	Livorno
Carl Medjani	Defender	Algeria	Valenciennes
Essaïd Belkalem	Defender	Algeria	Watford
Liassine Cadamuro-Bentaïba	Defender	Algeria	Mallorca
Faouzi Ghoulam	Defender	Algeria	Napoli
Nacereddine Khoualed	Defender	Algeria	USM Alger
Aïssa Mandi	Defender	Algeria	Reims
Medhi Lacen	Midfielder	Algeria	Getafe
Adlène Guedioura	Midfielder	Algeria	Crystal Palace
Hassan Yebda	Midfielder	Algeria	Udinese
Foued Kadir	Midfielder	Algeria	Rennes
Mehdi Mostefa	Midfielder	Algeria	Ajaccio
Sofiane Feghouli	Midfielder	Algeria	Valencia
Ryad Boudebouz	Midfielder	Algeria	Bastia
Saphir Taïder	Midfielder	Algeria	Internazionale
Abdelmoumene Djabou	Midfielder	Algeria	Club Africain
Yacine Brahimi	Midfielder	Algeria	Granada
Nabil Bentaleb	Midfielder	Algeria	Tottenham Hotspur
