#Italy
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,FW,Enes Ünal,10 May 1997 (aged 24),22,2,Getafe
,FW,Kenan Karaman,5 March 1994 (aged 27),21,5,Fortuna Düsseldorf
,FW,Halil Dervişoğlu,8 December 1999 (aged 21),2,1,Galatasaray

#Wales
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Wayne Hennessey,24 January 1987 (aged 34),95,0,Crystal Palace
,GK,Danny Ward,22 June 1993 (aged 27),12,0,Leicester City
,GK,Adam Davies,17 July 1992 (aged 28),2,0,Stoke City
,DF,Chris Gunter,21 July 1989 (aged 31),100,0,Charlton Athletic
,DF,Ben Davies,24 April 1993 (aged 28),58,0,Tottenham Hotspur
,DF,Connor Roberts,23 September 1995 (aged 25),25,1,Swansea City
,DF,Chris Mepham,5 November 1997 (aged 23),16,0,Bournemouth
,DF,Tom Lockyer,3 December 1994 (aged 26),13,0,Luton Town
,DF,Joe Rodon,22 October 1997 (aged 23),12,0,Tottenham Hotspur
,DF,Neco Williams,13 April 2001 (aged 20),9,1,Liverpool
,DF,Rhys Norrington-Davies,22 April 1999 (aged 22),4,0,Stoke City
,DF,Ben Cabango,30 May 2000 (aged 21),3,0,Swansea City
,,,,,,
,MF,Aaron Ramsey,26 December 1990 (aged 30),61,16,Juventus
,MF,Joe Allen,14 March 1990 (aged 31),57,2,Stoke City
,MF,Jonny Williams,9 October 1993 (aged 27),27,1,Cardiff City
,MF,Harry Wilson,22 March 1997 (aged 24),24,5,Cardiff City
,MF,Ethan Ampadu,14 September 2000 (aged 20),22,0,Sheffield United
,MF,Daniel James,10 November 1997 (aged 23),19,4,Manchester United
,MF,David Brooks,8 July 1997 (aged 23),16,2,Bournemouth
,MF,Joe Morrell,3 January 1997 (aged 24),14,0,Luton Town
,MF,Matthew Smith,22 November 1999 (aged 21),13,0,Doncaster Rovers
,MF,Dylan Levitt,17 November 2000 (aged 20),6,0,Istra 1961
,MF,Rubin Colwill,27 April 2002 (aged 19),0,0,Cardiff City
,,,,,,
,FW,Gareth Bale (captain),16 July 1989 (aged 31),90,33,Tottenham Hotspur
,FW,Kieffer Moore,8 August 1992 (aged 28),15,5,Cardiff City
,FW,Tyler Roberts,12 January 1999 (aged 22),13,0,Leeds United

#Belgium
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Thibaut Courtois,11 May 1992 (aged 29),83,0,Real Madrid
2,DF,Toby Alderweireld,2 March 1989 (aged 32),107,5,Tottenham Hotspur
3,DF,Thomas Vermaelen,14 November 1985 (aged 35),79,2,Vissel Kobe
4,DF,Jason Denayer,28 June 1995 (aged 25),23,1,Lyon
5,DF,Jan Vertonghen,24 April 1987 (aged 34),126,9,Benfica
6,MF,Axel Witsel,12 January 1989 (aged 32),110,10,Borussia Dortmund
7,MF,Kevin De Bruyne,28 June 1991 (aged 29),80,21,Manchester City
8,MF,Youri Tielemans,7 May 1997 (aged 24),37,4,Leicester City
9,FW,Romelu Lukaku,13 May 1993 (aged 28),91,59,Internazionale
10,FW,Eden Hazard (captain),7 January 1991 (aged 30),106,32,Real Madrid
11,MF,Yannick Carrasco,4 September 1993 (aged 27),44,6,Atlético Madrid
12,GK,Simon Mignolet,6 March 1988 (aged 33),30,0,Club Brugge
13,GK,Matz Sels,26 February 1992 (aged 29),0,0,Strasbourg
14,FW,Dries Mertens,6 May 1987 (aged 34),96,21,Napoli
15,DF,Thomas Meunier,12 September 1991 (aged 29),46,7,Borussia Dortmund
16,MF,Thorgan Hazard,29 March 1993 (aged 28),33,5,Borussia Dortmund
17,MF,Hans Vanaken,24 August 1992 (aged 28),9,2,Club Brugge
18,DF,Leander Dendoncker,15 April 1995 (aged 26),15,0,Wolverhampton Wanderers
19,MF,Dennis Praet,14 May 1994 (aged 27),10,1,Leicester City
20,FW,Christian Benteke,3 December 1990 (aged 30),39,16,Crystal Palace
21,DF,Timothy Castagne,5 December 1995 (aged 25),13,2,Leicester City
22,MF,Nacer Chadli,2 August 1989 (aged 31),62,8,İstanbul Başakşehir
23,FW,Michy Batshuayi,2 October 1993 (aged 27),33,22,Crystal Palace
24,FW,Leandro Trossard,4 December 1994 (aged 26),6,2,Brighton & Hove Albion
25,DF,Dedryck Boyata,28 November 1990 (aged 30),22,0,Hertha BSC
26,FW,Jérémy Doku,27 May 2002 (aged 19),6,2,Rennes

#Denmark
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Kasper Schmeichel,5 November 1986 (aged 34),63,0,Leicester City
2,DF,Joachim Andersen,31 May 1996 (aged 25),4,0,Fulham
3,DF,Jannik Vestergaard,3 August 1992 (aged 28),21,1,Southampton
4,DF,Simon Kjær (captain),26 March 1989 (aged 32),105,3,Milan
5,DF,Joakim Mæhle,20 May 1997 (aged 24),8,2,Atalanta
6,DF,Andreas Christensen,10 April 1996 (aged 25),40,1,Chelsea
7,MF,Mathias Jensen,1 January 1996 (aged 25),5,1,Brentford
8,MF,Thomas Delaney,3 September 1991 (aged 29),52,5,Borussia Dortmund
9,FW,Martin Braithwaite,5 June 1991 (aged 30),48,8,Barcelona
10,MF,Christian Eriksen,14 February 1992 (aged 29),106,36,Internazionale
11,FW,Andreas Skov Olsen,29 December 1999 (aged 21),5,3,Bologna
12,FW,Kasper Dolberg,6 October 1997 (aged 23),24,7,Nice
